EWC Replay - 135,EWC Replay - 142,EWC Replay - 201,EWC Replay - 285,Random - 135,Random - 142,Random - 201,Random - 285,iCaRL - 135,iCaRL - 142,iCaRL - 201,iCaRL - 285,LUCIR - 135,LUCIR - 142,LUCIR - 201,LUCIR - 285,VAE - BBox,VAE - Filter,VAE_GMM
1.0,1.0,1.0,0.977777777777778,1.0,0.977777777777778,0.9555555555555556,0.977777777777778,0.3111111111111111,0.3555555555555555,0.0444444444444444,0.0,0.9111111111111112,0.9555555555555556,0.7333333333333333,0.8444444444444444,1.0,1.0,1.0
0.9555555555555556,1.0,1.0,0.9555555555555556,0.977777777777778,1.0,1.0,1.0,0.1555555555555555,0.2,0.0444444444444444,0.0,0.6222222222222222,0.7555555555555555,0.8444444444444444,0.4222222222222222,1.0,1.0,1.0
0.9333333333333332,0.977777777777778,0.9555555555555556,0.977777777777778,0.977777777777778,1.0,0.9333333333333332,0.977777777777778,0.2,0.1777777777777778,0.0,0.1333333333333333,0.5333333333333333,0.7555555555555555,0.3555555555555555,0.6888888888888889,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.611111111111111,0.8,1.0,0.8,0.6,0.8,0.6,0.977777777777778,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647058823529412,0.8,0.9647058823529412,0.7176470588235294,0.5764705882352941,0.8,1.0,0.8,1.0,1.0,1.0
1.0,0.9333333333333332,0.9555555555555556,0.9555555555555556,1.0,0.977777777777778,0.9111111111111112,0.977777777777778,0.2666666666666667,0.0666666666666666,0.0888888888888888,0.0222222222222222,0.6666666666666666,0.5777777777777777,0.6222222222222222,0.8,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8941176470588234,0.588235294117647,1.0,0.8352941176470587,1.0,0.8352941176470589,1.0,1.0,1.0,1.0,1.0
0.977777777777778,1.0,1.0,0.888888888888889,0.977777777777778,0.977777777777778,0.9333333333333332,1.0,0.2888888888888888,0.3777777777777777,0.0222222222222222,0.0,0.4222222222222222,0.7555555555555555,0.2666666666666667,0.6,1.0,1.0,0.977777777777778
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666666,0.788888888888889,0.977777777777778,0.5888888888888889,0.5888888888888889,0.711111111111111,0.788888888888889,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888888,1.0,0.8,0.8111111111111111,0.8,0.6,1.0,0.5,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6705882352941177,0.9411764705882352,0.7058823529411764,0.9058823529411764,0.8352941176470589,1.0,1.0,0.7647058823529411,1.0,1.0,1.0
